step,train_mean_reward,full_valid_mean_reward,full_valid_mean_parse_error,completion_tokens_mean,mean_unresponsive_rewards,usage/samples/train_reasoning_tokens_mean,usage/samples/valid_reasoning_tokens_mean,usage/samples/train_reasoning_tokens_count,usage/samples/valid_reasoning_tokens_count,sampling_duration,training_duration,eval_duration,total_duration,reasoning_tokens_mean,errors/graders/python/grader-3f2047aa7052/errors/train_sample_parse_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_sample_parse_error_count,errors/graders/python/grader-3f2047aa7052/errors/train_invalid_variable_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_invalid_variable_error_count,errors/graders/python/grader-3f2047aa7052/errors/train_other_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_other_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_sample_parse_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_sample_parse_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_invalid_variable_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_invalid_variable_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_other_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_other_error_count,scores/graders/python/grader-3f2047aa7052/train_reward_mean,scores/graders/python/grader-3f2047aa7052/valid_reward_mean,timing/graders/python/grader-3f2047aa7052/timing/train_execution_latency_mean,timing/graders/python/grader-3f2047aa7052/timing/train_execution_latency_count,timing/graders/python/grader-3f2047aa7052/timing/valid_execution_latency_mean,timing/graders/python/grader-3f2047aa7052/timing/valid_execution_latency_count,train_tool_calls_to_get_order,train_token_usage_mean_get_order,train_latency_get_order,train_error_count_get_order,valid_tool_calls_to_get_order,valid_token_usage_mean_get_order,valid_latency_get_order,valid_error_count_get_order,timestamp
1,0.13799607843137257,0.14427192982456144,,261.4258064516129,0,229.2326797385621,,765,,120.8137617111206,64.13217186927795,9.822845458984375E-05,64.51059532165527,229.2326797385621,0,751,0,751,0,751,0,570,0,570,0,570,0.1592103861517976,0.14427192982456144,7.0507440170181415,751,43.32578621538062,570,10,357.7,0.41121933460235593,0.2857142857142857,82,399.2926829268293,0.38343867732257375,0.2545454545454545,2026-05-29T04:47:28.4670000Z
2,0.1836993464052288,,,368.4011428571429,0,309.11529411764707,,850,,159.725487947464,63.740506172180176,0.00010776519775390625,64.19060444831848,309.11529411764707,0,737,0,737,0,737,,,,,,,0.2286702849389417,,6.6458106710597,737,,,110,377.1,0.3643920920111916,0.09836065573770492,,,,,2026-05-29T04:49:52.9430000Z
3,0.38613725490196077,,,477.3939130434783,0,351.63989408649604,,1133,,187.2341604232788,108.7271180152893,0.00024366378784179688,109.25628519058228,351.63989408649604,0,706,0,706,0,706,,,,,,,0.5019759206798866,,6.384352090000768,706,,,385,397.3038961038961,0.37984024456569127,0.09836065573770492,,,,,2026-05-29T04:53:16.1850000Z
4,0.6632692810457516,,,534.3410290237467,0,388.4521800281294,,1422,,218.15804409980774,150.38509559631348,0.000152587890625,150.99008798599243,388.4521800281294,0,697,0,697,0,697,,,,,,,0.8255394548063127,,6.333706272554877,697,,,751,382.91211717709723,0.5105307594278998,0.05296343001261034,,,,,2026-05-29T04:57:36.8690000Z
5,0.40518300653594774,0.6389350877192982,,491.28775948460986,0,361.7886297376093,,1372,,200.4313449859619,133.5847990512848,298.48802876472473,432.7631404399872,361.7886297376093,0,638,0,638,0,638,0,570,0,570,0,570,0.6848981191222571,0.6389350877192982,5.9884455368436615,638,50.653039059304355,570,630,374.4269841269841,0.4977286001992604,0.14749661705006767,483,397.5900621118012,0.3775595167408819,0.21207177814029363,2026-05-29T05:06:36.8120000Z
6,0.6698248366013071,,,573.6824417009602,0,419.85743944636675,,1445,,196.26495957374573,157.54683423042297,9.965896606445312E-05,158.01742553710938,419.85743944636675,0,716,0,716,0,716,,,,,,,0.7841005586592178,,6.641851274327859,716,,,691,359.4848046309696,0.3747862482553971,0.050824175824175824,,,,,2026-05-29T05:11:08.9040000Z
7,0.684954248366013,,,572.3805555555556,0,405.56140350877195,,1425,,197.61145687103271,150.91301321983337,9.202957153320312E-05,151.63000202178955,405.56140350877195,0,695,0,695,0,695,,,,,,,0.8546618705035971,,6.467655185315249,695,,,674,410.19287833827894,0.5358460190034408,0.07544581618655692,,,,,2026-05-29T05:15:26.5050000Z
8,0.666911111111111,,,560.3324061196106,0,407.6553432413305,,1413,,214.14478969573975,142.6971755027771,8.58306884765625E-05,143.66122245788574,407.6553432413305,0,706,0,706,0,706,,,,,,,0.80621388101983,,6.482503130483222,706,,,673,311.87221396731053,0.46532156456809876,0.056100981767180924,,,,,2026-05-29T05:19:37.7780000Z
9,0.6260261437908498,,,510.3894592744695,0,366.7268965517241,,1450,,191.2512469291687,141.3049864768982,8.916854858398438E-05,142.20619678497314,366.7268965517241,0,724,0,724,0,724,,,,,,,0.7181077348066299,,6.728594195447574,724,,,695,357.9338129496403,0.3695564468987554,0.04269972451790634,,,,,2026-05-29T05:23:36.3020000Z
10,0.6013999999999999,0.638678947368421,,569.0980926430518,0,423.18940493468796,,1378,,214.84771704673767,156.65633583068848,301.2438564300537,458.3490891456604,423.18940493468796,0,711,0,711,0,711,0,570,0,570,0,570,0.7230253164556962,0.638678947368421,6.52075974615985,711,50.38700638653939,570,702,374.1794871794872,0.3655660777350097,0.044897959183673466,495,396.92121212121214,0.3795137814801149,0.1567291311754685,2026-05-29T05:33:08.2330000Z
