step,train_mean_reward,full_valid_mean_reward,full_valid_mean_parse_error,completion_tokens_mean,mean_unresponsive_rewards,usage/samples/train_reasoning_tokens_mean,usage/samples/valid_reasoning_tokens_mean,usage/samples/train_reasoning_tokens_count,usage/samples/valid_reasoning_tokens_count,sampling_duration,training_duration,eval_duration,total_duration,reasoning_tokens_mean,errors/graders/python/grader-e0045157892e/errors/train_sample_parse_error_mean,errors/graders/python/grader-e0045157892e/errors/train_sample_parse_error_count,errors/graders/python/grader-e0045157892e/errors/train_invalid_variable_error_mean,errors/graders/python/grader-e0045157892e/errors/train_invalid_variable_error_count,errors/graders/python/grader-e0045157892e/errors/train_other_error_mean,errors/graders/python/grader-e0045157892e/errors/train_other_error_count,errors/graders/python/grader-e0045157892e/errors/valid_sample_parse_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_sample_parse_error_count,errors/graders/python/grader-e0045157892e/errors/valid_invalid_variable_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_invalid_variable_error_count,errors/graders/python/grader-e0045157892e/errors/valid_other_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_other_error_count,scores/graders/python/grader-e0045157892e/train_reward_mean,scores/graders/python/grader-e0045157892e/valid_reward_mean,timing/graders/python/grader-e0045157892e/timing/train_execution_latency_mean,timing/graders/python/grader-e0045157892e/timing/train_execution_latency_count,timing/graders/python/grader-e0045157892e/timing/valid_execution_latency_mean,timing/graders/python/grader-e0045157892e/timing/valid_execution_latency_count,train_tool_calls_to_get_order,train_token_usage_mean_get_order,train_latency_get_order,train_error_count_get_order,valid_tool_calls_to_get_order,valid_token_usage_mean_get_order,valid_latency_get_order,valid_error_count_get_order,timestamp
1,0.09331640625,0.21832000000000004,,249.8786717752235,0,221.92207792207793,,770,,58.87727618217468,58.95107460021973,9.131431579589844E-05,118.48205232620239,221.92207792207793,0,753,0,753,0,753,0,150,0,150,0,150,0.11509561752988048,0.21832000000000004,15.379395125871635,753,12.016635888417563,150,14,427.35714285714283,0.09912097454071045,0.17647058823529413,22,399.40909090909093,0.1624691919846968,0,2026-04-17T15:43:14.2520000Z
2,0.23847265625000003,,,405.7633262260128,0,325.4359526372443,,929,,65.14004755020142,62.80819749832153,8.559226989746094E-05,128.50987195968628,325.4359526372443,0,718,0,718,0,718,,,,,,,0.3247172701949861,,14.762378630199803,718,,,169,464.4378698224852,0.11452367178787141,0.19138755980861244,,,,,2026-04-17T15:45:23.0130000Z
3,0.5816315104166666,,,504.35729847494554,0,373.890036900369,,1355,,77.3208839893341,105.95729351043701,7.867813110351562E-05,183.67768669128418,373.890036900369,0,658,0,658,0,658,,,,,,,0.8460379939209726,,13.747375526689106,658,,,609,427.8817733990148,7.258675848126216,0.12625538020086083,,,,,2026-04-17T15:48:26.8980000Z
4,0.6302513020833334,,,454.4102564102564,0,336.215782122905,,1432,,87.57341194152832,107.22247385978699,0.00010418891906738281,195.4456787109375,336.215782122905,0,709,0,709,0,709,,,,,,,0.7659139633286319,,14.578228422213341,709,,,675,421.01037037037037,8.538397344659876,0.06896551724137931,,,,,2026-04-17T15:51:42.5590000Z
5,0.5332838541666667,0.6407466666666667,,553.0229325920778,0,417.47642505277975,,1421,,82.3918251991272,111.95136547088623,97.49870038032532,292.72568368911743,417.47642505277975,0,683,0,683,0,683,0,150,0,150,0,150,0.7241024890190337,0.6407466666666667,14.35214789824814,683,12.495341038703918,150,669,303.9760837070254,7.424749975603614,0.09226594301221167,139,378.59712230215825,0.14578881881219877,0,2026-04-17T15:56:35.5220000Z
6,0.6693190104166665,,,557.8332170272156,0,413.8029661016949,,1416,,74.61462426185608,121.82398629188538,7.510185241699219E-05,197.61664605140686,413.8029661016949,0,684,0,684,0,684,,,,,,,0.8743230994152047,,14.344615951616165,684,,,664,424.7801204819277,5.081054376909532,0.09536784741144415,,,,,2026-04-17T16:00:20.5050000Z
7,0.644140625,,,572.1890034364261,0,425.89447938504543,,1431,,89.77866792678833,119.37213397026062,7.939338684082031E-05,210.32180643081665,425.89447938504543,0,702,0,702,0,702,,,,,,,0.7987179487179488,,14.401447685695441,702,,,687,387.6768558951965,7.311177595213511,0.05761316872427984,,,,,2026-04-17T16:03:51.1220000Z
8,0.7196875,,,620.7038303693571,0,458.5626297577855,,1445,,86.22800922393799,127.97907948493958,9.036064147949219E-05,215.03795886039734,458.5626297577855,0,701,0,701,0,701,,,,,,,0.8840513552068474,,14.341631933897947,701,,,694,347.3227665706052,5.581059811781738,0.06720430107526881,,,,,2026-04-17T16:07:26.4220000Z
9,0.6087955729166666,,,459.01799307958476,0,331.87946741415556,,1427,,80.53672432899475,111.06839537620544,7.486343383789062E-05,192.2449779510498,331.87946741415556,0,677,0,677,0,677,,,,,,,0.8250443131462333,,14.067678599449168,677,,,676,419.23668639053255,7.747856355277745,0.09986684420772303,,,,,2026-04-17T16:10:44.4260000Z
10,0.5335026041666667,0.6855133333333333,,578.0595075239398,0,427.5394736842105,,1444,,119.99104905128479,117.39044880867004,92.97139286994934,331.2261655330658,427.5394736842105,0,713,0,713,0,713,0,150,0,150,0,150,0.6517952314165497,0.6855133333333333,14.517620767483704,713,12.547547650337219,150,694,386.2190201729107,7.0319538494351965,0.05962059620596206,136,379.02941176470586,0.16775740420117097,0.11688311688311688,2026-04-17T16:16:15.9290000Z
11,0.6213020833333333,,,602.4239726027397,0,451.08339076498964,,1451,,95.62658739089966,124.30175566673279,7.748603820800781E-05,220.6066997051239,451.08339076498964,0,702,0,702,0,702,,,,,,,0.7737321937321937,,15.08947437882763,702,,,691,346.29956584659914,6.848564864585093,0.07248322147651007,,,,,2026-04-17T16:20:12.3860000Z
12,0.7331627604166666,,,532.0285908781484,0,375.2408809359945,,1453,,81.92047953605652,122.37940526008606,7.772445678710938E-05,205.48992109298706,375.2408809359945,0,706,0,706,0,706,,,,,,,0.8853668555240792,,14.731676976336297,706,,,701,425.0584878744651,7.005659166654405,0.05906040268456376,,,,,2026-04-17T16:23:43.9030000Z
